employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
208,148,19,0,1,1,1
2009,1671,90,0,1,1,1
1219,849,77,0,1,1,1
1107,918,189,0,0,1,1
994,475,72,1,1,0,1
589,5,23,0,0,0,0
366,330,36,0,1,0,0
332,252,50,0,0,1,1
2063,1270,76,1,1,0,0
460,353,20,0,1,0,1
412,313,49,0,1,1,0
1313,1055,34,0,1,0,0
2333,1830,224,0,1,1,1
193,158,7,0,0,1,1
338,256,19,0,0,0,0
358,268,24,0,1,1,1
216,198,16,0,0,0,0
679,299,31,0,0,1,1
875,740,33,0,1,1,1
642,384,37,0,0,0,0
426,264,73,0,0,0,0
971,589,75,0,1,0,0
229,222,6,0,0,1,0
565,244,19,0,1,1,1
347,189,59,0,0,1,1
550,436,71,0,0,0,0
700,411,78,0,1,1,1
307,219,57,0,0,1,1
1072,905,42,0,1,0,0
420,0,32,1,1,0,1
208,162,12,0,1,1,1
165,6,30,0,0,1,1
347,324,18,0,0,0,0
945,630,91,0,1,0,0
214,169,28,0,0,1,1
1735,1208,31,1,1,1,0
461,275,37,0,0,0,0
906,570,49,0,1,0,1
454,269,99,0,0,0,0
3218,2601,271,0,1,1,1
251,200,39,0,0,0,0
645,472,93,1,0,0,0
206,184,18,0,1,0,0
1650,938,185,0,1,1,1
238,186,22,0,1,0,0
285,270,15,0,1,0,0
501,383,58,0,1,0,0
227,128,31,0,0,0,0
174,6,18,0,0,1,1
98,62,16,0,0,0,0
6236,0,79,1,1,0,1
649,337,63,0,1,0,0
679,515,90,0,1,0,1
240,200,13,0,0,1,0
174,112,37,0,1,0,1
227,197,17,0,0,0,1
286,137,144,1,1,0,0
18085,13501,629,1,1,0,1
515,0,25,0,1,1,1
1183,279,71,0,1,0,0
461,199,29,0,0,0,0
842,618,22,0,0,1,1
2514,0,133,0,1,0,0
512,284,40,1,0,0,0
605,143,25,0,0,0,0
220,154,31,0,0,0,0
257,162,37,0,0,1,1
4210,3480,77,1,1,0,1
1364,775,132,0,1,0,1
486,396,40,0,1,1,1
889,598,7,1,1,0,0
3892,2345,515,0,1,0,1
223,202,19,0,0,1,0
483,310,74,0,1,0,0
390,334,42,0,0,0,0
1490,805,47,0,1,0,0
1117,746,38,0,1,0,0
7824,5079,451,1,1,0,0
197,135,29,0,1,0,1
1569,1457,112,0,1,1,0
527,418,76,0,1,1,1
335,255,54,0,1,1,1
408,202,62,0,0,0,0
335,270,10,0,1,1,1
1151,1067,45,0,1,0,0
316,244,62,1,0,0,1
812,486,43,1,0,1,1
883,0,32,0,1,1,1
303,287,16,0,1,1,1
8109,7109,411,1,1,0,1
7514,6321,209,1,1,1,1
793,253,133,0,0,1,1
395,320,9,0,1,0,1
242,214,28,0,1,0,1
646,337,75,0,0,0,0
3175,1601,128,0,1,1,1
530,290,100,0,1,0,0
835,501,81,0,0,0,0
2073,1301,156,0,1,1,1
138,120,16,0,1,0,0
1145,620,211,0,1,0,0
406,251,41,0,1,0,0
571,404,36,0,0,0,0
288,200,46,0,0,0,0
1494,632,150,0,0,1,1
135,94,21,0,0,0,1
304,231,52,0,1,1,1
265,225,31,0,0,1,1
358,175,150,0,0,0,0
716,645,28,0,0,0,1
401,343,44,0,0,1,1
322,0,17,0,0,1,0
618,0,35,0,0,1,1
346,271,26,0,1,1,1
369,0,13,0,0,1,1
411,392,12,0,0,1,1
372,254,27,0,0,1,1
938,398,32,0,0,0,0
1016,672,104,1,1,1,1
852,429,23,1,0,1,1
1176,0,174,1,1,0,1
878,550,23,0,1,0,0
346,167,120,0,0,0,0
250,232,3,0,0,0,0
7327,6096,643,1,1,1,1
339,237,27,0,0,0,0
1467,852,49,0,0,0,0
167,146,15,0,0,0,0
3316,1406,607,0,1,0,0
1866,1149,143,1,0,0,0
442,306,37,0,0,0,0
250,182,31,0,0,1,0
607,455,63,0,1,0,1
944,787,58,0,1,1,1
426,5,25,0,0,0,0
5278,1806,397,1,1,0,1
364,250,30,0,1,1,1
272,152,70,0,1,0,0
810,622,42,0,1,1,1
5190,4090,339,0,1,0,0
916,454,34,0,1,1,0
899,729,164,0,0,1,1
371,279,17,1,1,0,1
1527,939,468,1,1,0,0
948,408,69,1,1,1,1
255,159,50,0,0,0,0
409,224,22,0,1,0,1
488,394,39,0,0,0,1
1030,879,61,1,1,1,0
411,0,12,0,0,0,1
274,208,16,0,0,1,0
2650,1122,155,1,1,0,0
1841,1345,228,0,1,0,0
1204,980,27,0,1,1,1
2425,1985,137,0,1,1,1
3109,1671,111,0,1,0,0
2423,1916,109,0,1,1,1
302,136,21,0,0,0,1
148,118,15,0,0,0,1
515,404,34,0,0,0,0
275,204,9,0,0,1,1
728,488,51,0,0,0,0
547,372,51,0,0,0,0
262,226,13,0,0,1,1
834,576,70,0,0,0,0
4020,1646,201,0,1,0,1
543,230,49,0,0,1,1
545,429,29,0,1,1,1
785,395,49,0,1,1,1
350,216,50,0,0,0,0
703,518,91,1,0,1,1
202,141,6,0,0,1,1
189,167,15,0,1,1,1
12511,7230,4264,1,1,0,1
259,125,109,0,0,0,0
263,194,41,0,0,0,0
525,0,8,0,0,1,0
2737,2292,313,0,1,0,1
243,166,77,0,0,0,0
291,205,10,0,0,0,0
314,235,37,0,0,1,1
1510,867,23,0,1,0,0
864,684,176,1,0,0,1
1133,624,49,0,0,1,1
188,157,13,0,0,1,1
387,180,34,0,1,0,0
8693,6528,272,1,1,0,1
325,269,24,0,1,1,1
2921,1532,253,1,1,1,1
14414,10496,1006,1,1,0,1
554,383,47,0,0,0,0
451,307,31,0,0,1,1
161,157,4,0,1,1,0
339,192,8,0,0,0,0
1212,594,135,0,0,0,0
837,513,176,0,1,0,0
308,263,12,0,0,0,0
437,155,47,0,1,1,1
856,347,123,0,1,0,0
759,425,61,0,1,0,1
325,235,25,0,1,0,0
2702,1483,228,0,1,0,0
241,172,23,1,0,0,0
1299,751,103,0,1,0,1
204,185,12,0,1,0,1
680,645,20,0,0,0,1
482,410,24,0,0,0,0
254,196,5,0,0,0,1
1132,608,102,1,1,0,0
1798,1059,108,0,1,1,1
779,503,22,1,1,1,1
1361,859,38,0,1,0,0
401,247,43,0,0,0,0
976,3,49,1,1,0,1
365,245,22,0,0,0,1
251,199,19,0,0,1,1
472,287,31,0,0,0,0
225,91,46,0,0,0,0
14416,8163,381,1,1,1,1
884,875,9,1,1,1,1
173,115,11,0,0,1,1
239,147,20,0,0,1,1
89,66,14,0,0,1,1
197,169,13,0,1,1,1
265,170,37,0,0,0,0
303,252,30,0,0,1,1
1396,888,55,1,1,1,1
1291,606,92,0,0,1,1
422,200,96,0,0,0,0
272,172,49,0,0,0,0
487,236,176,0,1,0,0
463,179,62,0,0,0,0
2121,1204,280,0,1,0,0
4097,2231,426,0,1,0,1
394,240,16,1,1,1,1
341,312,25,0,0,1,0
311,205,24,1,0,0,0
190,152,17,0,1,1,1
917,757,160,0,0,0,0
665,435,23,0,0,0,0
1220,690,71,0,1,0,0
258,154,24,0,1,0,0
1563,1178,130,0,1,0,1
1007,701,141,0,0,0,0
3119,2573,242,0,1,0,1
506,347,61,0,0,1,0
361,295,10,0,1,0,1
7584,5771,890,1,1,0,1
145,90,22,0,0,0,1
258,0,76,0,0,1,1
430,353,7,0,0,1,1
2444,1453,174,0,1,1,1
219,0,60,0,0,0,0
377,336,23,0,0,1,1
312,272,24,0,1,0,1
548,467,24,0,1,1,1
544,216,34,0,0,1,1
708,601,44,1,1,1,1
249,0,25,0,0,0,0
269,188,16,0,1,0,1
180,149,12,0,0,1,0
331,276,25,0,1,1,1
419,317,22,0,0,0,0
436,287,39,0,0,0,0
280,235,27,0,1,1,1
2416,1360,538,1,1,0,1
119,84,9,0,1,0,1
199,149,16,0,0,1,0
1082,779,235,1,1,0,1
2430,1185,212,0,1,0,1
472,0,26,0,0,0,0
221,208,7,0,1,1,1
2201,1893,208,0,1,0,0
821,478,197,0,1,0,1
146,91,21,0,0,0,0
673,506,33,0,1,0,1
1474,821,71,0,1,0,0
237,204,33,0,0,0,0
906,323,119,1,0,0,0
485,208,27,0,0,0,0
1360,0,147,0,1,0,0
1345,1043,150,1,1,0,1
582,0,35,0,1,1,1
328,270,28,0,0,1,1
393,381,12,0,1,1,1
607,0,42,0,1,0,0
164,0,36,0,0,0,0
371,278,62,1,0,0,0
940,0,34,0,1,1,1
3643,2093,1458,1,1,0,1
293,258,24,0,0,0,1
707,0,46,1,0,0,1
216,180,18,1,0,0,0
580,480,34,0,1,0,1
143,102,23,0,0,0,1
210,127,10,1,0,0,0
160,115,23,0,0,0,1
8480,3137,207,1,1,1,1
187,104,31,0,1,1,1
506,259,33,0,0,0,0
6474,4946,65,1,1,0,0
2546,940,239,0,1,1,1
501,385,42,0,0,0,1
875,586,57,1,0,0,0
459,365,16,0,0,0,0
189,166,9,0,1,0,1
307,205,47,0,0,0,1
349,256,20,0,1,1,1
651,527,33,0,0,0,0
569,6,30,0,1,0,1
551,444,19,0,0,1,1
254,120,83,0,0,0,0
939,7,85,1,1,1,1
853,470,52,1,1,0,0
1495,759,163,0,1,0,0
219,120,14,0,0,1,0
578,417,130,0,0,0,0
907,623,130,0,0,0,0
191,126,25,0,1,1,1
960,646,43,0,0,1,1
3293,2540,39,0,1,0,0
250,132,50,0,0,0,0
866,76,91,0,1,1,1
1001,492,38,0,1,0,0
552,423,47,0,0,0,0
347,277,14,0,1,1,1
248,205,18,0,0,0,0
352,262,20,0,0,0,0
226,159,41,0,0,0,0
1207,828,145,1,1,0,0
1088,780,77,0,1,0,0
1908,1292,138,0,1,0,0
986,570,43,1,1,0,1
809,673,93,0,0,1,1
118,101,14,0,1,0,1
438,366,35,0,1,0,1
267,120,40,0,0,1,1
215,163,32,0,0,0,0
290,142,20,0,0,0,0
1034,943,43,0,1,1,0
740,464,85,0,0,0,0
223,173,19,0,0,1,1
250,127,19,0,0,1,1
548,343,64,0,0,1,1
786,587,27,0,1,1,1
247,164,25,0,1,0,0
7111,4385,535,1,1,0,1
224,88,22,0,0,1,1
615,368,25,0,0,1,0
224,151,42,0,1,1,1
413,342,47,0,0,1,1
432,285,21,1,0,1,1
371,254,44,0,0,1,1
3153,1733,153,1,1,0,0
205,47,48,0,1,0,0
2063,1497,231,1,1,0,0
1163,890,131,0,1,0,0
382,200,52,0,1,1,1
460,239,38,0,0,1,1
378,250,19,0,0,0,0
520,401,50,0,0,1,0
233,139,17,0,0,1,1
391,364,26,0,1,0,1
1075,0,97,0,1,1,1
1357,1171,60,0,1,0,0
538,361,62,0,1,1,1
651,473,49,0,0,1,1
145,110,22,0,0,1,1
887,278,47,0,0,0,0
177,113,32,0,0,1,1
193,122,37,0,1,1,1
1800,1384,132,1,1,0,0
1625,1392,77,0,1,1,0
382,298,26,0,0,0,0
1097,694,74,0,1,0,0
230,193,37,0,0,1,1
182,149,15,0,1,1,1
908,751,25,0,1,1,1
3037,1465,145,1,1,0,0
239,151,11,0,0,1,1
286,246,40,0,1,0,1
5652,3121,346,1,1,0,0
395,198,30,0,1,0,0
479,306,49,0,0,0,0
2035,0,330,0,1,0,0
206,170,23,0,1,1,1
146,104,18,0,1,0,1
638,346,75,0,1,0,1
83,67,16,0,1,0,1
132,102,22,0,0,0,1
1026,695,148,0,1,0,0
919,458,62,0,0,0,0
1849,769,275,0,1,0,0
942,554,122,0,1,0,1
509,4,42,0,1,0,1
1119,839,53,0,1,0,0
869,542,102,1,0,0,0
860,0,146,0,1,0,0
1174,588,76,0,1,0,1
248,144,32,0,0,0,0
828,643,96,0,1,1,1
1670,1492,92,0,1,1,1
1318,1151,73,0,1,0,1
833,733,70,0,0,1,1
228,176,8,0,0,1,1
315,195,40,0,0,0,0
NA,183,59,0,1,1,1
1022,846,97,1,1,1,1
620,0,30,0,1,0,0
319,180,15,0,0,0,0
749,579,53,0,0,1,1
1308,875,203,1,1,0,1
486,0,34,0,1,1,1
250,142,19,0,0,0,0
2075,1668,145,1,1,1,1
431,212,27,1,0,0,0
507,402,30,0,0,0,0
406,0,23,1,1,0,1
1360,1032,194,0,0,0,0
280,16,20,0,0,1,1
134,0,8,0,1,0,1
3193,2252,635,1,1,0,0
945,408,116,0,1,1,1
226,178,48,0,1,1,1
320,185,100,0,0,0,0
580,350,40,0,0,0,0
780,739,41,0,1,0,0
574,382,98,0,0,0,1
484,354,55,0,0,0,0
231,148,13,0,0,1,1
800,381,51,0,0,1,1
882,552,82,0,1,0,0
1637,193,45,0,0,0,0
238,163,39,0,0,0,0
310,204,44,0,0,0,0
1021,5,42,1,1,0,1
3504,1957,1028,0,1,0,0
122,78,12,0,1,0,0
1112,1032,67,0,1,1,1
1093,728,87,0,1,0,0
5555,0,199,1,1,0,1
522,336,65,0,0,0,0
303,0,19,0,1,1,1
418,220,160,1,1,0,1
541,258,60,1,1,0,1
2012,1100,86,0,1,0,1
1033,511,93,0,1,1,1
252,67,10,0,0,1,1
1176,997,77,0,1,0,0
372,307,22,0,1,1,1
436,307,35,0,0,0,0
1250,803,211,1,1,0,0
968,497,265,0,1,0,0
2103,1016,140,0,1,1,1
340,188,45,1,0,1,1
1104,223,66,0,0,0,0
1047,695,138,0,0,0,0
229,187,27,0,1,1,1
276,176,22,0,0,0,0
963,535,37,0,0,0,0
1621,854,175,0,1,1,1
631,368,41,1,1,1,1
358,206,33,0,1,0,0
524,400,25,0,0,0,0
670,588,78,0,0,1,1
412,312,56,0,0,0,0
472,379,40,0,1,1,1
226,146,31,0,1,1,1
964,722,39,0,1,0,1
1414,1078,51,0,0,0,0
861,758,72,0,1,0,0
248,179,35,0,0,1,1
1942,908,24,0,1,0,1
5468,2559,290,1,1,0,1
182,137,22,0,1,0,1
1908,1473,61,1,1,1,1
220,195,22,0,1,0,0
185,93,28,0,0,0,0
453,336,48,1,1,0,0
1198,820,165,0,0,0,0
927,498,45,0,1,1,1
682,557,58,0,0,0,0
516,235,228,1,0,1,1
537,430,28,0,1,1,1
151,102,15,1,0,0,1
823,0,50,0,0,0,1
642,275,126,0,1,0,1
686,269,31,0,0,0,0
203,175,10,0,1,1,1
785,0,25,0,1,0,1
2193,1420,67,1,1,1,1
813,675,46,0,0,0,0
1801,961,78,0,1,1,1
6627,3630,391,1,1,1,1
941,0,57,1,1,1,0
414,81,43,1,0,1,1
437,242,9,0,0,0,0
